,NITROGEN SHARE IN NPK (Percent),PHOSPHATE SHARE IN NPK (Percent),POTASH SHARE IN NPK (Percent),LENGTH OF GROWING PERIOD DAYS (Number),TOTAL AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),ANNUAL RAINFALL (Millimeters),crop_name,crop_yield
2061,0.0,0.0,0.0,307.0,325.47,199.28,147.78,2930.1,RICE YIELD (Kg per ha),2361.15
2062,0.0,0.0,0.0,307.0,325.47,202.25,147.15,3115.1,RICE YIELD (Kg per ha),2204.81
2063,78.29,1.01,20.65,307.0,325.47,207.67,149.91,3115.1,RICE YIELD (Kg per ha),2319.88
2064,54.78,24.61,20.61,282.0,370.86,425.45,195.18,1189.8,RICE YIELD (Kg per ha),3140.47
2065,55.7,25.96,18.35,282.0,370.86,438.77,189.89,1395.2,RICE YIELD (Kg per ha),2986.24
2066,57.91,25.29,16.8,282.0,370.86,457.41,197.94,891.3,RICE YIELD (Kg per ha),3105.01
2067,64.65,19.07,16.28,282.0,370.86,448.48,193.18,1237.6,RICE YIELD (Kg per ha),3543.64
2068,59.35,23.2,17.46,282.0,370.86,453.71,193.63,1303.4,RICE YIELD (Kg per ha),3465.25
2069,59.34,23.74,16.92,282.0,370.86,469.8,198.31,1538.9,RICE YIELD (Kg per ha),3418.27
2070,59.23,22.82,17.95,282.0,370.86,465.55,196.71,1259.3666666666666,RICE YIELD (Kg per ha),3401.3
2071,52.1,26.14,21.77,282.0,370.86,470.66,201.41,1259.3666666666666,RICE YIELD (Kg per ha),2944.6
2072,45.3,31.56,23.14,263.0,331.57,511.55,204.12,3338.9,RICE YIELD (Kg per ha),2386.1
2073,51.72,30.47,17.81,263.0,331.57,513.48,202.01,2627.8,RICE YIELD (Kg per ha),2198.08
2074,60.45,23.45,16.1,263.0,331.57,514.63,203.76,3354.3,RICE YIELD (Kg per ha),2412.66
2075,57.73,22.84,19.43,263.0,331.57,516.69,204.02,2445.6,RICE YIELD (Kg per ha),2665.29
